metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1716114599,1.000000,,,,true,,POST,http://localhost:8000/comment/,HTTP/1.1,default,,302,,,http://localhost:8000/comment/,,
http_req_duration,1716114599,614.928443,,,,true,,POST,http://localhost:8000/comment/,HTTP/1.1,default,,302,,,http://localhost:8000/comment/,,
http_req_blocked,1716114599,0.109130,,,,true,,POST,http://localhost:8000/comment/,HTTP/1.1,default,,302,,,http://localhost:8000/comment/,,
http_req_connecting,1716114599,0.058479,,,,true,,POST,http://localhost:8000/comment/,HTTP/1.1,default,,302,,,http://localhost:8000/comment/,,
http_req_tls_handshaking,1716114599,0.000000,,,,true,,POST,http://localhost:8000/comment/,HTTP/1.1,default,,302,,,http://localhost:8000/comment/,,
http_req_sending,1716114599,0.033061,,,,true,,POST,http://localhost:8000/comment/,HTTP/1.1,default,,302,,,http://localhost:8000/comment/,,
http_req_waiting,1716114599,614.803570,,,,true,,POST,http://localhost:8000/comment/,HTTP/1.1,default,,302,,,http://localhost:8000/comment/,,
http_req_receiving,1716114599,0.091812,,,,true,,POST,http://localhost:8000/comment/,HTTP/1.1,default,,302,,,http://localhost:8000/comment/,,
http_req_failed,1716114599,0.000000,,,,true,,POST,http://localhost:8000/comment/,HTTP/1.1,default,,302,,,http://localhost:8000/comment/,,
checks,1716114599,1.000000,is status 302,,,,,,,,default,,,,,,,
vus,1716114599,1.000000,,,,,,,,,,,,,,,,
vus_max,1716114599,1.000000,,,,,,,,,,,,,,,,
data_sent,1716114600,961.000000,,,,,,,,,default,,,,,,,
data_received,1716114600,1140.000000,,,,,,,,,default,,,,,,,
iteration_duration,1716114600,1616.976779,,,,,,,,,default,,,,,,,
iterations,1716114600,1.000000,,,,,,,,,default,,,,,,,
vus,1716114600,1.000000,,,,,,,,,,,,,,,,
vus_max,1716114600,1.000000,,,,,,,,,,,,,,,,
http_reqs,1716114600,1.000000,,,,true,,POST,http://localhost:8000/comment/,HTTP/1.1,default,,302,,,http://localhost:8000/comment/,,
http_req_duration,1716114600,455.542787,,,,true,,POST,http://localhost:8000/comment/,HTTP/1.1,default,,302,,,http://localhost:8000/comment/,,
http_req_blocked,1716114600,0.003378,,,,true,,POST,http://localhost:8000/comment/,HTTP/1.1,default,,302,,,http://localhost:8000/comment/,,
http_req_connecting,1716114600,0.000000,,,,true,,POST,http://localhost:8000/comment/,HTTP/1.1,default,,302,,,http://localhost:8000/comment/,,
http_req_tls_handshaking,1716114600,0.000000,,,,true,,POST,http://localhost:8000/comment/,HTTP/1.1,default,,302,,,http://localhost:8000/comment/,,
http_req_sending,1716114600,0.019093,,,,true,,POST,http://localhost:8000/comment/,HTTP/1.1,default,,302,,,http://localhost:8000/comment/,,
http_req_waiting,1716114600,455.392135,,,,true,,POST,http://localhost:8000/comment/,HTTP/1.1,default,,302,,,http://localhost:8000/comment/,,
http_req_receiving,1716114600,0.131559,,,,true,,POST,http://localhost:8000/comment/,HTTP/1.1,default,,302,,,http://localhost:8000/comment/,,
http_req_failed,1716114600,0.000000,,,,true,,POST,http://localhost:8000/comment/,HTTP/1.1,default,,302,,,http://localhost:8000/comment/,,
checks,1716114600,1.000000,is status 302,,,,,,,,default,,,,,,,
vus,1716114601,1.000000,,,,,,,,,,,,,,,,
vus_max,1716114601,1.000000,,,,,,,,,,,,,,,,
data_sent,1716114601,968.000000,,,,,,,,,default,,,,,,,
data_received,1716114601,1140.000000,,,,,,,,,default,,,,,,,
iteration_duration,1716114601,1456.554321,,,,,,,,,default,,,,,,,
iterations,1716114601,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1716114602,1.000000,,,,true,,POST,http://localhost:8000/comment/,HTTP/1.1,default,,302,,,http://localhost:8000/comment/,,
http_req_duration,1716114602,467.992057,,,,true,,POST,http://localhost:8000/comment/,HTTP/1.1,default,,302,,,http://localhost:8000/comment/,,
http_req_blocked,1716114602,0.003197,,,,true,,POST,http://localhost:8000/comment/,HTTP/1.1,default,,302,,,http://localhost:8000/comment/,,
http_req_connecting,1716114602,0.000000,,,,true,,POST,http://localhost:8000/comment/,HTTP/1.1,default,,302,,,http://localhost:8000/comment/,,
http_req_tls_handshaking,1716114602,0.000000,,,,true,,POST,http://localhost:8000/comment/,HTTP/1.1,default,,302,,,http://localhost:8000/comment/,,
http_req_sending,1716114602,0.023336,,,,true,,POST,http://localhost:8000/comment/,HTTP/1.1,default,,302,,,http://localhost:8000/comment/,,
http_req_waiting,1716114602,467.874473,,,,true,,POST,http://localhost:8000/comment/,HTTP/1.1,default,,302,,,http://localhost:8000/comment/,,
http_req_receiving,1716114602,0.094248,,,,true,,POST,http://localhost:8000/comment/,HTTP/1.1,default,,302,,,http://localhost:8000/comment/,,
http_req_failed,1716114602,0.000000,,,,true,,POST,http://localhost:8000/comment/,HTTP/1.1,default,,302,,,http://localhost:8000/comment/,,
checks,1716114602,1.000000,is status 302,,,,,,,,default,,,,,,,
vus,1716114602,1.000000,,,,,,,,,,,,,,,,
vus_max,1716114602,1.000000,,,,,,,,,,,,,,,,
data_sent,1716114603,968.000000,,,,,,,,,default,,,,,,,
data_received,1716114603,1140.000000,,,,,,,,,default,,,,,,,
iteration_duration,1716114603,1469.261453,,,,,,,,,default,,,,,,,
iterations,1716114603,1.000000,,,,,,,,,default,,,,,,,
vus,1716114603,1.000000,,,,,,,,,,,,,,,,
vus_max,1716114603,1.000000,,,,,,,,,,,,,,,,
