metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1714110294,1.000000,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
http_req_duration,1714110294,202.732586,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
http_req_blocked,1714110294,0.240586,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
http_req_connecting,1714110294,0.128267,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
http_req_tls_handshaking,1714110294,0.000000,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
http_req_sending,1714110294,0.080841,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
http_req_waiting,1714110294,202.319460,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
http_req_receiving,1714110294,0.332285,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
http_req_failed,1714110294,0.000000,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
checks,1714110294,1.000000,is status 302,,,,,,,,default,,,,,,,
vus,1714110294,1.000000,,,,,,,,,,,,,,,,
vus_max,1714110294,1.000000,,,,,,,,,,,,,,,,
data_sent,1714110295,790.000000,,,,,,,,,default,,,,,,,
data_received,1714110295,360.000000,,,,,,,,,default,,,,,,,
iteration_duration,1714110295,1205.586486,,,,,,,,,default,,,,,,,
iterations,1714110295,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1714110295,1.000000,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
http_req_duration,1714110295,98.606181,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
http_req_blocked,1714110295,0.003383,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
http_req_connecting,1714110295,0.000000,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
http_req_tls_handshaking,1714110295,0.000000,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
http_req_sending,1714110295,0.020430,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
http_req_waiting,1714110295,98.545610,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
http_req_receiving,1714110295,0.040141,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
http_req_failed,1714110295,0.000000,,,,true,,POST,http://localhost:8000/review/,HTTP/1.1,default,,302,,,http://localhost:8000/review/,,
checks,1714110295,1.000000,is status 302,,,,,,,,default,,,,,,,
vus,1714110295,1.000000,,,,,,,,,,,,,,,,
vus_max,1714110295,1.000000,,,,,,,,,,,,,,,,
data_sent,1714110296,784.000000,,,,,,,,,default,,,,,,,
data_received,1714110296,360.000000,,,,,,,,,default,,,,,,,
iteration_duration,1714110296,1099.354155,,,,,,,,,default,,,,,,,
iterations,1714110296,1.000000,,,,,,,,,default,,,,,,,
