metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1716035033,1.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_duration,1716035033,6.743777,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_blocked,1716035033,0.198208,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_connecting,1716035033,0.114163,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_tls_handshaking,1716035033,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_sending,1716035033,0.054091,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_waiting,1716035033,6.625555,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_receiving,1716035033,0.064131,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_failed,1716035033,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
checks,1716035033,1.000000,is status 302,,,,,,,,default,,,,,,,
vus,1716035034,1.000000,,,,,,,,,,,,,,,,
vus_max,1716035034,1.000000,,,,,,,,,,,,,,,,
data_sent,1716035034,511.000000,,,,,,,,,default,,,,,,,
data_received,1716035034,361.000000,,,,,,,,,default,,,,,,,
iteration_duration,1716035034,1008.233347,,,,,,,,,default,,,,,,,
iterations,1716035034,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1716035034,1.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_duration,1716035034,9.303964,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_blocked,1716035034,0.007838,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_connecting,1716035034,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_tls_handshaking,1716035034,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_sending,1716035034,0.071910,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_waiting,1716035034,9.163633,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_receiving,1716035034,0.068421,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_failed,1716035034,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
checks,1716035034,1.000000,is status 302,,,,,,,,default,,,,,,,
vus,1716035035,1.000000,,,,,,,,,,,,,,,,
vus_max,1716035035,1.000000,,,,,,,,,,,,,,,,
data_sent,1716035035,515.000000,,,,,,,,,default,,,,,,,
data_received,1716035035,361.000000,,,,,,,,,default,,,,,,,
iteration_duration,1716035035,1011.548029,,,,,,,,,default,,,,,,,
iterations,1716035035,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1716035035,1.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_duration,1716035035,23.628236,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_blocked,1716035035,0.008161,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_connecting,1716035035,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_tls_handshaking,1716035035,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_sending,1716035035,0.073535,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_waiting,1716035035,23.288843,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_receiving,1716035035,0.265858,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_failed,1716035035,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
checks,1716035035,1.000000,is status 302,,,,,,,,default,,,,,,,
vus,1716035036,1.000000,,,,,,,,,,,,,,,,
vus_max,1716035036,1.000000,,,,,,,,,,,,,,,,
data_sent,1716035036,511.000000,,,,,,,,,default,,,,,,,
data_received,1716035036,361.000000,,,,,,,,,default,,,,,,,
iteration_duration,1716035036,1026.548170,,,,,,,,,default,,,,,,,
iterations,1716035036,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1716035036,1.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_duration,1716035036,4.839236,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_blocked,1716035036,0.003314,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_connecting,1716035036,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_tls_handshaking,1716035036,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_sending,1716035036,0.018248,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_waiting,1716035036,4.787146,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_receiving,1716035036,0.033842,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_failed,1716035036,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
checks,1716035036,1.000000,is status 302,,,,,,,,default,,,,,,,
vus,1716035037,1.000000,,,,,,,,,,,,,,,,
vus_max,1716035037,1.000000,,,,,,,,,,,,,,,,
data_sent,1716035037,511.000000,,,,,,,,,default,,,,,,,
data_received,1716035037,361.000000,,,,,,,,,default,,,,,,,
iteration_duration,1716035037,1005.342366,,,,,,,,,default,,,,,,,
iterations,1716035037,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1716035037,1.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_duration,1716035037,6.655470,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_blocked,1716035037,0.002660,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_connecting,1716035037,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_tls_handshaking,1716035037,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_sending,1716035037,0.016594,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_waiting,1716035037,6.531782,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_receiving,1716035037,0.107094,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_failed,1716035037,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
checks,1716035037,1.000000,is status 302,,,,,,,,default,,,,,,,
vus,1716035038,1.000000,,,,,,,,,,,,,,,,
vus_max,1716035038,1.000000,,,,,,,,,,,,,,,,
data_sent,1716035038,507.000000,,,,,,,,,default,,,,,,,
data_received,1716035038,361.000000,,,,,,,,,default,,,,,,,
iteration_duration,1716035038,1007.895818,,,,,,,,,default,,,,,,,
iterations,1716035038,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1716035038,1.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_duration,1716035038,5.707801,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_blocked,1716035038,0.003048,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_connecting,1716035038,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_tls_handshaking,1716035038,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_sending,1716035038,0.023451,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_waiting,1716035038,5.640542,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_receiving,1716035038,0.043808,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_failed,1716035038,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
checks,1716035038,1.000000,is status 302,,,,,,,,default,,,,,,,
vus,1716035039,1.000000,,,,,,,,,,,,,,,,
vus_max,1716035039,1.000000,,,,,,,,,,,,,,,,
data_sent,1716035039,511.000000,,,,,,,,,default,,,,,,,
data_received,1716035039,361.000000,,,,,,,,,default,,,,,,,
iteration_duration,1716035039,1007.001840,,,,,,,,,default,,,,,,,
iterations,1716035039,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1716035039,1.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_duration,1716035039,23.948530,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_blocked,1716035039,0.009167,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_connecting,1716035039,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_tls_handshaking,1716035039,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_sending,1716035039,0.082019,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_waiting,1716035039,23.581590,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_receiving,1716035039,0.284921,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_failed,1716035039,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
checks,1716035039,1.000000,is status 302,,,,,,,,default,,,,,,,
vus,1716035040,1.000000,,,,,,,,,,,,,,,,
vus_max,1716035040,1.000000,,,,,,,,,,,,,,,,
data_sent,1716035040,511.000000,,,,,,,,,default,,,,,,,
data_received,1716035040,361.000000,,,,,,,,,default,,,,,,,
iteration_duration,1716035040,1026.676493,,,,,,,,,default,,,,,,,
iterations,1716035040,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1716035040,1.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_duration,1716035040,8.684681,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_blocked,1716035040,0.008107,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_connecting,1716035040,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_tls_handshaking,1716035040,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_sending,1716035040,0.099776,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_waiting,1716035040,8.526245,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_receiving,1716035040,0.058660,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_failed,1716035040,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
checks,1716035040,1.000000,is status 302,,,,,,,,default,,,,,,,
vus,1716035041,1.000000,,,,,,,,,,,,,,,,
vus_max,1716035041,1.000000,,,,,,,,,,,,,,,,
data_sent,1716035041,507.000000,,,,,,,,,default,,,,,,,
data_received,1716035041,361.000000,,,,,,,,,default,,,,,,,
iteration_duration,1716035041,1011.100698,,,,,,,,,default,,,,,,,
iterations,1716035041,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1716035041,1.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_duration,1716035041,15.267551,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_blocked,1716035041,0.007909,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_connecting,1716035041,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_tls_handshaking,1716035041,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_sending,1716035041,0.057931,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_waiting,1716035041,15.110634,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_receiving,1716035041,0.098986,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_failed,1716035041,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
checks,1716035041,1.000000,is status 302,,,,,,,,default,,,,,,,
vus,1716035042,1.000000,,,,,,,,,,,,,,,,
vus_max,1716035042,1.000000,,,,,,,,,,,,,,,,
data_sent,1716035042,511.000000,,,,,,,,,default,,,,,,,
data_received,1716035042,361.000000,,,,,,,,,default,,,,,,,
iteration_duration,1716035042,1018.049358,,,,,,,,,default,,,,,,,
iterations,1716035042,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1716035042,1.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_duration,1716035042,8.458759,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_blocked,1716035042,0.005391,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_connecting,1716035042,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_tls_handshaking,1716035042,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_sending,1716035042,0.027310,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_waiting,1716035042,8.369810,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_receiving,1716035042,0.061639,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_failed,1716035042,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
checks,1716035042,1.000000,is status 302,,,,,,,,default,,,,,,,
vus,1716035043,1.000000,,,,,,,,,,,,,,,,
vus_max,1716035043,1.000000,,,,,,,,,,,,,,,,
data_sent,1716035043,511.000000,,,,,,,,,default,,,,,,,
data_received,1716035043,361.000000,,,,,,,,,default,,,,,,,
iteration_duration,1716035043,1009.983161,,,,,,,,,default,,,,,,,
iterations,1716035043,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1716035043,1.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_duration,1716035043,4.917622,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_blocked,1716035043,0.002457,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_connecting,1716035043,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_tls_handshaking,1716035043,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_sending,1716035043,0.017764,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_waiting,1716035043,4.827098,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_receiving,1716035043,0.072760,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_failed,1716035043,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
