metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1716113589,1.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_duration,1716113589,11.611908,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_blocked,1716113589,0.130417,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_connecting,1716113589,0.078255,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_tls_handshaking,1716113589,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_sending,1716113589,0.047851,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_waiting,1716113589,11.491340,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_receiving,1716113589,0.072717,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_failed,1716113589,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
checks,1716113589,1.000000,is status 302,,,,,,,,default,,,,,,,
vus,1716113589,1.000000,,,,,,,,,,,,,,,,
vus_max,1716113589,1.000000,,,,,,,,,,,,,,,,
data_sent,1716113590,1085.000000,,,,,,,,,default,,,,,,,
data_received,1716113590,880.000000,,,,,,,,,default,,,,,,,
iteration_duration,1716113590,1013.152328,,,,,,,,,default,,,,,,,
iterations,1716113590,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1716113590,1.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_duration,1716113590,11.675287,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_blocked,1716113590,0.011424,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_connecting,1716113590,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_tls_handshaking,1716113590,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_sending,1716113590,0.075462,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_waiting,1716113590,11.478894,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_receiving,1716113590,0.120931,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_failed,1716113590,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
checks,1716113590,1.000000,is status 302,,,,,,,,default,,,,,,,
vus,1716113590,1.000000,,,,,,,,,,,,,,,,
vus_max,1716113590,1.000000,,,,,,,,,,,,,,,,
data_sent,1716113591,1085.000000,,,,,,,,,default,,,,,,,
data_received,1716113591,880.000000,,,,,,,,,default,,,,,,,
iteration_duration,1716113591,1017.062985,,,,,,,,,default,,,,,,,
iterations,1716113591,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1716113591,1.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_duration,1716113591,15.068240,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_blocked,1716113591,0.010420,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_connecting,1716113591,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_tls_handshaking,1716113591,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_sending,1716113591,0.078490,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_waiting,1716113591,14.846020,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_receiving,1716113591,0.143730,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_failed,1716113591,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
checks,1716113591,1.000000,is status 302,,,,,,,,default,,,,,,,
vus,1716113591,1.000000,,,,,,,,,,,,,,,,
vus_max,1716113591,1.000000,,,,,,,,,,,,,,,,
data_sent,1716113592,1085.000000,,,,,,,,,default,,,,,,,
data_received,1716113592,880.000000,,,,,,,,,default,,,,,,,
iteration_duration,1716113592,1018.353665,,,,,,,,,default,,,,,,,
iterations,1716113592,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1716113592,1.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_duration,1716113592,36.959215,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_blocked,1716113592,0.009229,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_connecting,1716113592,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_tls_handshaking,1716113592,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_sending,1716113592,0.091214,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_waiting,1716113592,36.801313,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_receiving,1716113592,0.066688,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_failed,1716113592,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
checks,1716113592,1.000000,is status 302,,,,,,,,default,,,,,,,
vus,1716113592,1.000000,,,,,,,,,,,,,,,,
vus_max,1716113592,1.000000,,,,,,,,,,,,,,,,
data_sent,1716113593,1085.000000,,,,,,,,,default,,,,,,,
data_received,1716113593,880.000000,,,,,,,,,default,,,,,,,
iteration_duration,1716113593,1041.721848,,,,,,,,,default,,,,,,,
iterations,1716113593,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1716113593,1.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_duration,1716113593,11.398532,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_blocked,1716113593,0.002644,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_connecting,1716113593,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_tls_handshaking,1716113593,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_sending,1716113593,0.031352,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_waiting,1716113593,11.280726,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_receiving,1716113593,0.086454,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
http_req_failed,1716113593,0.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
checks,1716113593,1.000000,is status 302,,,,,,,,default,,,,,,,
vus,1716113593,1.000000,,,,,,,,,,,,,,,,
vus_max,1716113593,1.000000,,,,,,,,,,,,,,,,
data_sent,1716113594,1085.000000,,,,,,,,,default,,,,,,,
data_received,1716113594,880.000000,,,,,,,,,default,,,,,,,
iteration_duration,1716113594,1013.340518,,,,,,,,,default,,,,,,,
iterations,1716113594,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1716113594,1.000000,,,,true,,POST,http://localhost:8000/login/,HTTP/1.1,default,,302,,,http://localhost:8000/login/,,
